timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761247777195,295,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,903,241,1,1,https://fakestoreapi.com/auth/login,295,0,0
1761247777491,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,896,235,1,1,https://fakestoreapi.com/auth/login,291,0,0
1761247777783,292,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,896,236,2,2,https://fakestoreapi.com/auth/login,292,0,0
1761247778076,289,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,909,235,2,2,https://fakestoreapi.com/auth/login,289,0,0
1761247777941,480,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,902,237,2,2,https://fakestoreapi.com/auth/login,480,0,175
1761247778366,288,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,903,241,2,2,https://fakestoreapi.com/auth/login,288,0,0
1761247778421,303,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,892,235,2,2,https://fakestoreapi.com/auth/login,303,0,0
1761247778654,294,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,900,236,2,2,https://fakestoreapi.com/auth/login,294,0,0
1761247778724,303,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,892,237,2,2,https://fakestoreapi.com/auth/login,303,0,0
1761247778949,290,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,895,235,2,2,https://fakestoreapi.com/auth/login,290,0,0
1761247779027,303,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,895,241,2,2,https://fakestoreapi.com/auth/login,303,0,0
1761247779239,294,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,892,235,2,2,https://fakestoreapi.com/auth/login,294,0,0
1761247779330,308,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,894,236,2,2,https://fakestoreapi.com/auth/login,308,0,0
1761247779534,288,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,237,2,2,https://fakestoreapi.com/auth/login,288,0,0
1761247779640,302,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,899,235,2,2,https://fakestoreapi.com/auth/login,302,0,0
1761247779823,290,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,895,241,2,2,https://fakestoreapi.com/auth/login,290,0,0
1761247779941,310,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,894,235,2,2,https://fakestoreapi.com/auth/login,310,0,0
1761247780113,288,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,892,236,2,2,https://fakestoreapi.com/auth/login,288,0,0
1761247780251,299,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,896,237,2,2,https://fakestoreapi.com/auth/login,299,0,0
1761247780402,287,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,897,235,2,2,https://fakestoreapi.com/auth/login,287,0,0
1761247780551,300,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,899,241,2,2,https://fakestoreapi.com/auth/login,300,0,0
